age;sc;s1;s2;s3;s4;s5
55;1;.3624069249348663;.1215978337579625;.049528121796546;.0232381726369267;0
55;2;.2822040975531697;.3557824593800836;.161240968166363;.0647368055654816;.0745535538408721
55;3;.2590699744465503;.3893325780958883;.5674179108978409;.3409031043446123;.3099656125303212
55;4;.0880888920004201;.1241594241774992;.1991783286427962;.5033446796519736;.4471229337970857
55;5;.0082301110649938;.0091277045885664;.0226346704964539;.0677772378010058;.1683578998317209
56;1;.3149253911970084;.1027757076203739;.0278806758816344;.0225946963675246;0
56;2;.3256017717321586;.4171789960446623;.1780479607492331;.0629612477899227;.1132879676355333
56;3;.2290459996853481;.3370597549781984;.5640015149561302;.3856362603350055;.1698130162668095
56;4;.1173760453098716;.1220005079032063;.2062545755838216;.4272787469017447;.4085732006427787
56;5;.0130507920756133;.0209850334535592;.0238152728291806;.1015290486058024;.3083258154548787
57;1;.4302885146327995;.1414901174841716;.0380362640549706;.021546954067822;.0030798508115798
57;2;.3169022639425731;.359593699732174;.2028598757680834;.0726552055696903;.0501788510704064
57;3;.1789356709000552;.3652433744860951;.5112738552051197;.3759972574442809;.237465063058735
57;4;.073873550524572;.1118980727429052;.2111372893347951;.4666751954477579;.4916775131787449
57;5;0;.0217747355546541;.0366927156370312;.063125387470449;.2175987218805338
58;1;.2171665580923819;.1469233704891383;.0491512451322567;.045062830281689;.0634049628062726
58;2;.3184085451174337;.3724434113291337;.1705610109194564;.0693318572829794;.074053374755099
58;3;.3195321925966472;.347014566595461;.549427093269889;.3778037245595824;.2270714135177539
58;4;.1429480038392895;.1118564850839847;.2011179817522754;.4310848801858747;.3900556539929593
58;5;.0019447003542477;.0217621665022824;.0297426689261225;.0767167076898746;.2454145949279152
59;1;.2366100511690958;.1033475609969602;.0442492408126755;.0285781329896402;.0248949139066997
59;2;.3151029324811671;.33124211855297;.1733059397431465;.0999492165336957;.0611137285502904
59;3;.2724058502179313;.3919131914101794;.5299026939629461;.298877510279274;.2929472692338837
59;4;.1107635644744147;.1451691888130847;.2217568513995199;.4956042532028606;.4581882494975743
59;5;.0651176016573912;.0283279402268056;.030785274081712;.0769908869945294;.1628558388115517
60;1;.2329805744841212;.0754106817155649;.0386515038522478;.0271698717675073;.0340932924224181
60;2;.2961964697234276;.3955619331496301;.2209875407960815;.1319228206351007;.0791140715423156
60;3;.3412616194856876;.3656285404879931;.4926606772233774;.3704163114365202;.3689594904260691
60;4;.1154737276333624;.1449808612611196;.2212248910620052;.3899083333434973;.2827494465374607
